R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1600,200,25,1900,200,100,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GRawX,GRawY,GRawZ,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,APT2X,APT2Y,APT2Z,aRawR,aRawP,aPT1R,aPT1P,aPT2R,aPT2P
151.873,12.962,-4.626,10.737,-5.733,-1.336,9.340,0.022,-0.201,9.915,0.307,-0.034,9.809,-6.955,31.301,-1.166,-0.131,-0.199,-1.796
151.884,0.511,-11.462,-4.643,-3.772,-1.041,14.219,-0.470,-0.282,10.132,0.179,-0.088,9.837,-4.052,14.827,-1.594,2.656,-0.517,-1.048
151.896,-4.005,28.089,0.971,21.670,4.375,1.523,-0.235,-0.305,10.123,-0.087,-0.157,9.973,11.394,-77.970,-1.731,1.330,-0.905,0.501
151.908,21.141,-0.842,-3.422,-13.895,-8.327,10.174,0.257,-0.325,9.884,0.024,-0.152,9.968,-25.818,46.608,-1.887,-1.489,-0.876,-0.141
151.920,-19.631,-11.584,-13.677,2.069,7.400,14.470,0.627,-0.183,9.764,0.075,-0.242,9.924,26.865,-7.259,-1.077,-3.676,-1.400,-0.434
151.931,3.929,5.139,1.338,7.975,1.796,4.620,0.850,-0.036,9.909,0.306,-0.133,9.897,11.033,-58.167,-0.212,-4.908,-0.769,-1.774
151.943,12.840,-8.532,-10.503,0.186,-5.101,4.016,0.535,-0.469,9.944,0.366,-0.180,9.954,-51.781,-1.648,-2.697,-3.080,-1.040,-2.108
151.955,-11.208,9.411,-7.573,-14.061,1.975,12.487,-0.193,-0.379,10.025,0.275,-0.326,9.952,6.001,48.064,-2.167,1.103,-1.879,-1.588
151.967,-15.236,17.835,-5.986,13.378,7.077,21.433,-0.018,0.066,10.409,0.108,-0.280,9.956,15.656,-30.671,0.367,0.102,-1.614,-0.623
151.979,16.746,45.545,15.010,8.945,-5.187,-4.081,0.452,-0.254,10.513,0.135,-0.125,10.190,-27.830,-53.604,-1.386,-2.467,-0.708,-0.759
151.990,16.380,33.826,0.849,-5.288,2.363,12.502,0.497,-0.503,10.162,0.289,-0.251,10.181,9.883,22.580,-2.835,-2.802,-1.414,-1.629
152.002,24.925,33.216,13.301,-3.815,-9.002,9.742,-0.066,-0.308,10.513,0.302,-0.263,10.164,-40.730,16.053,-1.680,0.364,-1.487,-1.702
152.014,25.169,23.328,0.971,-15.519,-6.897,18.365,-0.842,-0.699,11.039,0.103,-0.291,10.298,-16.014,38.367,-3.617,4.357,-1.624,-0.574
152.026,44.335,42.493,1.215,-3.743,1.286,19.988,-1.083,-0.559,11.304,-0.092,-0.409,10.485,3.620,10.591,-2.823,5.472,-2.235,0.503
152.038,27.733,53.724,-14.653,-1.681,-5.546,2.723,-0.794,-0.474,11.509,-0.366,-0.433,10.734,-60.046,15.228,-2.354,3.949,-2.310,1.954
152.050,33.593,48.719,-6.596,-7.846,10.605,23.531,-0.838,-0.465,11.577,-0.423,-0.515,10.889,23.160,16.917,-2.296,4.140,-2.711,2.226
152.061,14.427,77.407,-1.957,13.249,7.199,-1.947,-0.642,0.098,11.445,-0.571,-0.390,11.038,28.277,-60.655,0.491,3.213,-2.025,2.964
152.073,7.591,52.504,-15.752,-3.168,21.188,27.044,-0.091,1.243,12.114,-0.455,-0.184,11.176,37.907,5.272,5.862,0.430,-0.942,2.336
152.085,-3.029,77.285,-12.456,23.258,6.401,2.751,0.899,1.074,11.737,-0.333,0.154,11.385,15.295,-73.358,5.215,-4.365,0.778,1.679
152.095,15.526,23.572,-17.095,-12.731,-6.430,12.185,1.446,0.992,11.182,0.036,0.332,11.372,-20.056,42.760,5.030,-7.344,1.674,-0.185
152.107,16.380,55.677,-7.695,15.505,-14.089,0.625,1.400,0.341,11.136,0.293,0.437,11.354,-42.260,-47.734,1.744,-7.169,2.209,-1.479
152.117,10.276,14.539,-13.554,-14.829,8.262,15.598,1.771,0.489,11.029,0.603,0.361,11.266,21.012,40.054,2.511,-9.121,1.835,-3.067
152.127,16.624,27.845,0.117,4.325,-0.064,12.343,1.022,0.553,11.302,0.694,0.400,11.247,-0.283,-19.320,2.791,-5.164,2.034,-3.533
152.137,-3.761,26.624,-30.401,10.813,1.932,8.923,1.404,-0.097,10.943,0.727,0.354,11.246,7.853,-49.848,-0.507,-7.314,1.801,-3.700
152.149,5.638,15.149,-5.498,7.077,-12.947,9.405,1.355,-0.277,11.191,0.913,0.298,11.200,-47.750,-23.869,-1.412,-6.906,1.521,-4.665
152.161,-16.091,-31.360,-21.733,-9.685,9.599,25.823,0.929,-0.258,11.716,0.986,0.096,11.231,19.200,19.379,-1.259,-4.536,0.492,-5.023
152.173,-25.490,-29.041,-41.998,4.275,8.032,10.066,0.549,0.273,12.064,0.858,0.156,11.455,36.315,-18.373,1.299,-2.610,0.778,-4.288
152.183,-1.686,-9.997,1.826,-4.275,1.846,23.322,0.494,0.619,12.446,0.837,0.173,11.527,4.455,10.360,2.847,-2.274,0.859,-4.158
152.194,-60.526,-52.845,-35.650,4.339,16.820,12.329,0.874,1.004,12.112,0.775,0.315,11.756,52.175,-11.760,4.732,-4.116,1.536,-3.773
152.206,-23.659,-49.061,-33.575,6.121,-13.141,-2.500,0.813,0.599,11.875,0.772,0.521,11.845,-63.321,-24.602,2.885,-3.916,2.516,-3.729
