R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
58,80,47,58,70,47,250,0,0,0,0,0,2147483648,10000000,0.000100,0.003000,50,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0
sysTickMs,PIDRefXi,PIDRefYi,PIDSensXi,PIDSensYi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDUXi,PIDRefDotPT1Xi,PIDiRelaxWeightX
13795,0,0,0,0,0,0,0,0,0,1024
13800,0,0,0,0,0,0,0,0,0,1024
13805,0,0,0,0,0,0,0,0,0,1024
13810,0,0,0,0,0,0,0,0,0,1024
13815,0,0,0,0,0,0,0,0,0,1024
13820,0,0,0,0,0,0,0,0,0,1024
13825,0,0,0,0,0,0,0,0,0,1024
13830,0,0,0,0,0,0,0,0,0,1024
13835,0,0,0,0,0,0,0,0,0,1024
13840,0,0,0,0,0,0,0,0,0,1024
13845,0,0,0,0,0,0,0,0,0,1024
13850,0,0,0,0,0,0,0,0,0,1024
13855,0,0,0,0,0,0,0,0,0,1024
13860,0,0,0,0,0,0,0,0,0,1024
13865,0,0,0,0,0,0,0,0,0,1024
13870,0,0,0,0,0,0,0,0,0,1024
13875,0,0,0,0,0,0,0,0,0,1024
13880,0,0,0,0,0,0,0,0,0,1024
13885,0,0,0,0,0,0,0,0,0,1024
13890,0,0,0,0,0,0,0,0,0,1024
13895,0,0,0,0,0,0,0,0,0,1024
13900,0,0,0,0,0,0,0,0,0,1024
13905,0,0,0,0,0,0,0,0,0,1024
13910,0,0,0,0,0,0,0,0,0,1024
13915,0,0,0,0,0,0,0,0,0,1024
13920,0,0,0,0,0,0,0,0,0,1024
13925,0,0,0,0,0,0,0,0,0,1024
13930,0,0,0,0,0,0,0,0,0,1024
13935,0,0,0,0,0,0,0,0,0,1024
13940,0,0,0,0,0,0,0,0,0,1024
13945,0,0,0,0,0,0,0,0,0,1024
13950,0,0,0,0,0,0,0,0,0,1024
13955,0,0,0,0,0,0,0,0,0,1024
13960,0,0,0,0,0,0,0,0,0,1024
13965,0,0,0,0,0,0,0,0,0,1024
13970,0,0,0,0,0,0,0,0,0,1024
13975,0,0,0,0,0,0,0,0,0,1024
13980,0,0,0,0,0,0,0,0,0,1024
13985,0,0,0,0,0,0,0,0,0,1024
13990,0,0,0,0,0,0,0,0,0,1024
13995,0,0,0,0,0,0,0,0,0,1024
14000,0,0,0,0,0,0,0,0,0,1024
14005,0,0,0,0,0,0,0,0,0,1024
14010,0,0,0,0,0,0,0,0,0,1024
14015,0,-9216,7168,-4096,-1624,-12,5140,-6776,0,4096
14020,0,-9216,6144,-13312,-1392,-38,2145,-3575,0,1024
14025,0,-9216,8192,-6144,-1856,-73,1744,-3673,0,1024
14030,0,-9216,13312,-8192,-3016,-104,4876,-7996,0,1024
14035,0,-9216,7168,-6144,-1624,-138,-597,-1165,0,1024
14040,0,-9216,5120,-7168,-1160,-182,-2972,1630,0,1024
14045,0,-9216,11264,-7168,-2552,-216,1732,-4500,0,1024
14050,0,-9216,13312,-13312,-3016,-262,-2881,1227,0,1024
14055,0,-9216,12288,-4096,-2784,-298,2111,-5193,0,1024
14060,0,-9216,10240,-8192,-2320,-336,355,-3011,0,1024
14065,0,-9216,9216,-4096,-2088,-369,-2915,1384,0,1024
14070,0,-9216,9216,-5120,-2088,-401,722,-3211,0,1024
14075,0,-9216,8192,-12288,-1856,-429,298,-2583,0,1024
14081,0,-9216,2048,-9216,-2088,-458,1468,-4014,0,1024
14086,0,-9216,5120,-3072,-1160,-486,-1722,76,0,1024
14091,0,-9216,4096,-3072,-928,-516,-2582,1138,0,1024
14096,0,-9216,1024,-6144,-232,-541,1239,-3636,0,1024
14101,0,-9216,8192,-12288,-1856,-560,1652,-4068,0,1024
14106,0,-9216,3072,-7168,-696,-583,-2250,971,0,1024
14111,0,-9216,7168,-7168,-1624,-608,-1355,-181,0,1024
14116,0,-9216,9216,-9216,-2088,-639,1721,-4448,0,1024
