R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
48,1,34,40,1,28,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi
268601,4.944,5250,314368,251904,5856,2641,-13932
268606,-29.602,5250,314368,290816,2208,2675,-15319
268611,-44.495,5250,314368,239616,7008,2706,-15319
268616,-25.452,5250,401408,210944,17856,2758,-12967
268621,8.850,5250,409600,201728,19488,2808,-12967
268626,18.127,5250,409600,288768,11328,2855,-12967
268631,-8.850,5250,409600,358400,4800,2907,-1997
268636,-49.744,5250,455680,351232,9792,2961,-6644
268641,-61.096,5250,455680,259072,18432,3020,-6644
268646,-12.878,5250,455680,240640,20160,3069,-6644
268651,23.254,5250,455680,279552,16512,3110,-6644
268656,5.676,5250,455680,403456,4896,3152,-6644
268661,-27.649,5250,713728,456704,24096,3280,-6644
268666,-70.618,5250,713728,380928,31200,3413,478
268671,-46.814,5250,713728,300032,38784,3543,478
268676,2.991,5250,713728,292864,39456,3666,-4085
268681,25.085,5250,1422336,398336,96000,3833,-4760
268686,-18.494,5250,1422336,529408,83712,4226,-4760
268691,-65.857,5250,1422336,526336,84000,4619,-4760
268696,-73.547,5250,1422336,442368,91872,4963,411
268701,-42.419,5250,1422336,393216,96480,5319,411
268706,29.114,5250,1949696,458752,139776,5808,15393
268711,-4.211,5250,1949696,644096,122400,6343,15393
268716,-74.402,5250,1949696,751616,112320,6872,15393
268721,-82.581,5250,2014208,715776,121728,7344,20049
268726,-79.407,5250,2014208,663552,126624,7849,20049
268731,-35.217,5250,2014208,728064,120576,8322,20049
268736,-16.052,5250,2014208,869376,107328,8770,28890
268741,-59.998,5250,1949696,1021952,86976,9195,28890
268746,-83.191,5250,1949696,1070080,82464,9573,28890
268751,-84.167,5250,1949696,1090560,80544,9883,35095
268756,-76.355,5250,1949696,1154048,74592,10194,35095
268761,-81.970,5250,1949696,1273856,63360,10480,44921
268766,-100.769,5250,1422336,1338368,7872,10618,44921
268771,-94.910,5250,1422336,1352704,6528,10644,44921
268776,-66.467,5250,1422336,1404928,1632,10638,44921
268781,-63.049,5250,1422336,1509376,-8160,10610,51012
268786,-79.407,5250,1422336,1630208,-19488,10571,51012
268791,-118.225,5250,1094656,1670144,-53952,10387,62234
268796,-130.188,5250,1094656,1643520,-51456,10192,62234
268801,-130.798,5250,1094656,1586176,-46080,9985,62234
268806,-69.519,5250,615424,1566720,-89184,9618,62234
268811,-61.829,5250,615424,1571840,-89664,9216,55024
268816,-48.767,5250,615424,1619968,-94176,8826,55024
268821,-68.420,5250,615424,1607680,-93024,8454,53051
268826,-100.769,5250,615424,1582080,-90624,8103,44755
268831,-121.155,5250,615424,1486848,-81696,7776,44755
268836,-111.877,5250,615424,1312768,-65376,7501,44755
268841,-96.008,5250,615424,1233920,-57984,7222,30668
268846,-58.411,5250,615424,1163264,-51360,6972,30668
268851,-50.232,5250,615424,1088512,-44352,6759,7892
268856,-50.720,5250,615424,1024000,-38304,6580,7892
268861,-55.359,5250,615424,936960,-30144,6437,7892
268866,-39.856,5250,9216,824320,-76416,6145,7892
268871,-31.799,5250,9216,710656,-65760,5829,-9602
268876,-15.930,5250,9216,620544,-57312,5545,-9602
268881,33.508,5250,9216,596992,-55104,5298,-9602
268886,22.278,5250,-4096,496640,-46944,5090,-28265
268891,12.512,5250,-4096,455680,-43104,4915,-28265
268896,-4.089,5250,-4096,414720,-39264,4791,-28265
268901,13.000,5250,0,315392,-29568,4686,-36659
268906,10.193,5250,0,202752,-19008,4611,-40848
268911,3.845,5250,0,118784,-11136,4567,-44670
268916,7.629,5250,0,41984,-3936,4550,-44670
268921,20.325,5250,0,-15360,1440,4558,-44670
268926,14.587,5250,0,-90112,8448,4591,-51015
268931,35.950,5250,-4096,-143360,13056,4646,-51015
268936,34.363,5250,-4096,-201728,18528,4719,-51015
268941,31.067,5250,-4096,-260096,24000,4809,-48700
268946,43.640,5250,-4096,-302080,27936,4913,-48700
268951,45.593,5250,-4096,-296960,27456,5014,-48700
268956,42.053,5250,-4096,-354304,32832,5136,-54090
268961,37.292,5250,-4096,-369664,34272,5264,-54090
268966,28.748,5250,-4096,-391168,36288,5399,-48872
268971,34.485,5250,-4096,-385024,35712,5515,-47478
268976,25.940,5250,-4096,-389120,36096,5646,-47478
268981,22.156,5250,-4096,-384000,35616,5776,-33891
268986,21.545,5250,-4096,-376832,34944,5900,-33891
268991,11.902,5250,-4096,-358400,33216,6019,-33891
268996,-16.907,5250,-4096,-310272,28704,6132,-28686
269001,-18.738,5250,-7168,-284672,26016,6235,-28686
269006,-25.574,5250,-7168,-299008,27360,6324,-28686
269011,-29.114,5250,-13312,-220160,19392,6408,-16606
269016,-35.339,5250,-28672,-191488,15264,6481,-16606
269021,-24.719,5250,-28672,-156672,12000,6542,-16606
269026,-26.428,5250,-28672,-97280,6432,6596,-16606
269031,-13.977,5250,-80896,-83968,288,6629,-16606
269036,-6.653,5250,-80896,-92160,1056,6651,-16606
269041,1.770,5250,-99328,-75776,-2208,6656,-5299
269046,2.380,5250,-108544,-67584,-3840,6662,-5299
269051,19.958,5250,-108544,-67584,-3840,6663,-5299
269056,22.400,5250,-108544,-96256,-1152,6666,-5728
269061,24.963,5250,-182272,-111616,-6624,6658,-5728
269066,24.109,5250,-182272,-106496,-7104,6641,-5728
269071,23.376,5250,-182272,-149504,-3072,6629,-7230
269076,30.090,5250,-257024,-175104,-7680,6611,-7230
269081,35.828,5250,-257024,-202752,-5088,6584,-7230
269086,45.837,5250,-309248,-230400,-7392,6547,-7230
269092,37.903,5250,-309248,-294912,-1344,6523,-7230
269097,32.532,5250,-309248,-327680,1728,6511,-7230
269102,13.733,5250,-309248,-360448,4800,6510,-7230
269107,8.484,5250,-309248,-377856,6432,6525,-19926
269112,7.141,5250,-309248,-398336,8352,6554,-19926
269117,17.517,5250,-537600,-417792,-11232,6518,-25316
269122,30.579,5250,-541696,-456704,-7968,6493,-25316
269127,39.246,5250,-541696,-491520,-4704,6477,-25316
269132,42.053,5250,-541696,-542720,96,6480,-30377
269137,43.152,5250,-601088,-590848,-960,6492,-30377
269142,49.622,5250,-601088,-638976,3552,6506,-30377
269147,67.810,5250,-626688,-721920,8928,6531,-35340
269152,66.467,5250,-626688,-740352,10656,6564,-35340
269157,65.613,5250,-626688,-790528,15360,6615,-35340
269162,67.688,5250,-690176,-852992,15264,6662,-30534
269167,61.340,5250,-727040,-892928,15552,6715,-30534
269172,49.988,5250,-727040,-934912,19488,6771,-30534
269177,34.729,5250,-760832,-951296,17856,6830,-42571
269182,28.625,5250,-832512,-966656,12576,6892,-42571
269187,19.470,5250,-832512,-1020928,17664,6940,-42571
269192,12.146,5250,-832512,-985088,14304,7003,-41649
269197,17.639,5250,-832512,-1002496,15936,7081,-41649
269202,58.166,5250,-832512,-1010688,16704,7169,-35261
269207,71.106,5250,-1162240,-1039360,-11520,7176,-42354
269212,74.524,5250,-1162240,-1078272,-7872,7161,-42354
269217,81.726,5250,-1162240,-1095680,-6240,7158,-42354
269222,92.346,5250,-1453056,-1149952,-28416,7081,-33712
269227,100.525,5250,-1529856,-1196032,-31296,6979,-33712
269232,106.873,5250,-1529856,-1243136,-26880,6866,-33712
269237,109.070,5250,-1529856,-1332224,-18528,6771,-40707
269242,111.633,5250,-1930240,-1380352,-51552,6659,-40707
269247,112.366,5250,-1930240,-1398784,-49824,6456,-40707
269252,111.633,5250,-1930240,-1476608,-42528,6250,-40707
269257,70.862,5250,-1930240,-1522688,-38208,6061,-40707
269262,69.885,5250,-1930240,-1567744,-33984,5893,-40707
269267,65.613,5250,-1930240,-1583104,-32544,5748,-56455
269272,64.392,5250,-2149376,-1614848,-50112,5619,-56455
269277,74.890,5250,-2149376,-1671168,-44832,5439,-56455
269282,94.421,5250,-2172928,-1734656,-41088,5294,-56455
269287,129.211,5250,-2172928,-1786880,-36192,5152,-59567
269292,142.151,5250,-2172928,-1855488,-29760,5035,-60360
269297,151.306,5250,-2220032,-1963008,-24096,4935,-63422
269302,161.194,5250,-2220032,-2036736,-17184,4852,-63422
269307,170.715,5250,-2220032,-2113536,-9984,4794,-63422
