R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000000,0.000300,75,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
386.139,0.167,0.724,0.330,0.278,0.270,0.328
386.151,0.843,0.377,0.351,0.287,0.286,0.331
386.163,-0.621,0.482,0.374,0.253,0.250,0.331
386.174,-0.883,0.434,0.382,0.230,0.228,0.319
386.186,-0.950,0.498,0.386,0.219,0.215,0.307
386.198,0.554,0.332,0.411,0.244,0.244,0.303
386.209,1.835,0.333,0.411,0.290,0.290,0.317
386.221,1.327,0.218,0.369,0.279,0.281,0.329
386.233,1.522,0.233,0.365,0.290,0.291,0.341
386.245,2.005,0.251,0.355,0.308,0.309,0.357
386.257,1.388,0.154,0.310,0.313,0.316,0.377
386.268,-0.644,-0.023,0.263,0.258,0.264,0.376
386.280,-0.816,0.031,0.229,0.248,0.253,0.367
386.292,-0.341,0.108,0.203,0.262,0.265,0.362
386.303,-0.491,0.105,0.186,0.261,0.264,0.358
386.315,0.219,0.004,0.167,0.270,0.275,0.354
386.327,0.914,0.026,0.157,0.289,0.295,0.360
386.339,1.311,0.079,0.137,0.310,0.315,0.370
386.351,0.458,0.079,0.111,0.296,0.300,0.376
386.362,-0.296,0.194,0.109,0.284,0.286,0.377
386.374,-0.160,0.340,0.140,0.300,0.299,0.377
386.386,0.216,0.149,0.154,0.306,0.308,0.377
386.397,1.016,0.036,0.116,0.322,0.326,0.379
386.409,0.916,0.230,0.156,0.330,0.331,0.386
386.421,-0.507,0.120,0.133,0.296,0.299,0.383
386.433,-0.513,0.162,0.136,0.287,0.288,0.375
386.444,-1.087,0.027,0.114,0.274,0.278,0.368
386.456,-1.412,-0.158,0.073,0.255,0.261,0.355
386.468,-0.507,0.111,0.044,0.271,0.271,0.343
386.480,0.246,0.103,0.032,0.279,0.279,0.339
386.491,2.270,0.250,0.060,0.341,0.338,0.353
386.503,1.190,0.438,0.102,0.333,0.326,0.369
386.515,1.777,0.543,0.098,0.371,0.362,0.385
386.527,-0.438,0.259,0.096,0.317,0.311,0.389
386.538,-0.029,0.245,0.126,0.312,0.306,0.381
