R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,45,5,45,5,50,500,0,0
sysTime,GRawX,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
333.410,12.585,-1.977,33.837,-1.124,-2.197,-2.310,-2.218
333.420,9.899,-0.730,40.334,0.238,-2.093,-2.285,-2.221
333.430,9.411,0.928,7.240,-0.445,-2.083,-2.252,-2.212
333.440,-6.824,2.079,-41.179,-2.069,-2.065,-2.180,-2.182
333.450,14.660,3.791,-38.816,-3.450,-2.048,-2.115,-2.159
333.460,18.566,5.119,-12.582,-2.915,-1.942,-2.056,-2.124
333.470,23.694,9.083,33.260,-1.323,-1.714,-1.920,-2.058
333.480,2.941,8.286,43.396,-0.087,-1.555,-1.853,-1.960
333.490,7.580,10.394,16.129,0.050,-1.380,-1.708,-1.854
333.500,9.411,10.337,-0.623,-0.357,-1.280,-1.597,-1.742
333.510,30.408,15.731,-30.771,-1.795,-1.020,-1.313,-1.603
333.520,40.784,19.860,-31.025,-1.934,-0.730,-1.022,-1.424
333.530,30.774,21.782,29.679,-0.784,-0.418,-0.762,-1.208
333.540,15.270,21.877,52.297,2.204,-0.086,-0.555,-0.978
333.550,1.232,18.653,-33.546,-0.840,-0.087,-0.432,-0.768
333.561,36.389,20.404,-56.995,-2.300,0.134,-0.174,-0.574
333.571,45.179,23.837,-0.583,-1.193,0.498,0.128,-0.356
333.581,20.642,23.652,58.512,0.685,0.803,0.341,-0.118
333.591,18.811,24.915,26.512,1.755,1.123,0.620,0.142
333.602,13.561,23.109,-9.531,0.214,1.308,0.847,0.403
333.612,25.525,23.555,-28.362,-1.722,1.471,1.085,0.634
333.623,32.483,23.778,-20.889,-2.520,1.717,1.327,0.862
333.633,10.754,21.371,10.100,-1.961,1.923,1.476,1.077
333.644,18.566,18.994,22.375,-1.108,2.111,1.594,1.266
333.654,13.317,18.785,-6.793,-1.436,2.292,1.774,1.444
333.664,36.023,19.874,-15.269,-1.609,2.502,1.973,1.617
333.674,16.003,18.962,20.710,-0.442,2.738,2.122,1.799
333.685,5.993,15.073,31.061,0.458,2.805,2.166,1.959
333.695,-3.650,11.855,19.763,0.130,2.830,2.193,2.084
333.706,-15.491,8.655,-28.877,-1.792,2.774,2.213,2.175
333.716,7.458,5.576,-36.101,-4.310,2.710,2.190,2.213
333.727,10.021,5.385,-33.300,-4.038,2.736,2.198,2.230
333.738,-9.876,-0.449,27.954,-2.025,2.658,2.037,2.220
333.748,-5.725,-2.657,20.020,-0.584,2.617,1.933,2.177
333.759,-18.909,-5.875,-3.969,-0.698,2.493,1.812,2.119
333.770,1.598,-7.959,-13.661,-0.970,2.315,1.647,2.017
333.781,-23.670,-10.210,-9.518,-0.613,2.172,1.482,1.908
333.791,-8.167,-12.849,24.582,0.433,1.939,1.237,1.759
333.802,-37.587,-16.495,26.132,2.034,1.751,0.986,1.601
333.813,-32.948,-18.110,17.866,1.568,1.512,0.770,1.416
333.823,-26.112,-18.365,-23.300,-0.970,1.251,0.594,1.219
333.834,-26.112,-19.694,-32.036,-2.969,0.920,0.347,0.994
333.845,-13.416,-21.209,-32.740,-2.723,0.616,0.053,0.743
