R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,40,0,0,0,500000,15000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDFFoutXi,PIDUXi
12800,-363520,-828416,105328,-27735,166894
12810,-363520,-837632,107416,-27735,186396
12820,-363520,-689152,73776,-27735,54422
12830,-363520,-729088,82824,-27735,117057
12840,-366592,-701440,75864,-27969,106379
12850,-366592,-775168,92568,-27969,182173
12860,-392192,-703488,70528,-29922,106093
12870,-417792,-704512,64960,-31875,97926
12880,-444416,-686080,54752,-33907,102513
12890,-456704,-803840,78648,-34844,167795
12900,-524288,-858112,75632,-40000,182227
12910,-537600,-859136,72848,-41016,151029
12920,-601088,-852992,57072,-45860,107438
12930,-601088,-855040,57536,-45860,93202
12940,-684032,-1011712,74240,-52188,199163
12950,-684032,-1028096,77952,-52188,186251
12960,-684032,-1100800,94424,-52188,217932
12970,-684032,-1077248,89088,-52188,159561
12980,-1128448,-1115136,-3016,-86094,23496
12990,-1128448,-1243136,25984,-86094,114122
13000,-1379328,-1306624,-16472,-105235,54121
13010,-1393664,-1440768,10672,-106329,113795
13020,-1498112,-1494016,-928,-114297,49516
13030,-1579008,-1646592,15312,-120469,77386
13040,-1792000,-1785856,-1392,-136719,75791
13050,-1869824,-2045952,39904,-142657,155285
13060,-1869824,-2129920,58928,-142657,119071
13070,-1869824,-2266112,89784,-142657,143973
13080,-2342912,-2353152,2320,-178750,-19716
13090,-2420736,-2593792,39208,-184688,81611
13100,-2500608,-2784256,64264,-190782,110557
13110,-2583552,-3015680,97904,-197110,169821
13120,-2818048,-3070976,57304,-215000,27569
13130,-2880512,-3260416,86072,-219766,84181
13140,-3211264,-3437568,51272,-245000,39735
13150,-3542016,-3662848,27376,-270235,41193
13160,-3542016,-3904512,82128,-270235,115255
13170,-4120576,-4079616,-9280,-314375,-64424
13180,-4256768,-4322304,14848,-324766,-51965
13190,-4302848,-4637696,75864,-328282,41402
13200,-4302848,-5033984,165648,-328282,198304
13210,-4348928,-5252096,204624,-331797,188412
13220,-4302848,-5501952,271672,-328282,256687
13230,-4302848,-5579776,289304,-328282,193460
13240,-4210688,-5682176,333384,-321250,243984
13250,-4210688,-5692416,335704,-321250,223850
13260,-4210688,-5728256,343824,-321250,270719
13270,-4033536,-5609472,357048,-307735,254663
13280,-4033536,-5575680,349392,-307735,283166
13290,-4033536,-5436416,310416,-307735,186384
13300,-3820544,-5349376,346376,-291485,272116
13310,-3820544,-5145600,300208,-291485,169605
13320,-3108864,-5071872,444744,-237188,417910
13330,-2788352,-4790272,453560,-212735,389292
13340,-2292736,-4449280,488592,-174922,426069
13350,-1993728,-4001792,454952,-152110,372949
13360,-1271808,-3443712,492072,-97032,422458
13370,-1271808,-2942976,378624,-97032,348904
13380,-690176,-2248704,353104,-52657,324453
13390,-637952,-1598464,217616,-48672,177080
13400,-436224,-1183744,169360,-33282,254652
13410,-409600,-641024,52432,-31250,136482
13420,-229376,-285696,12760,-17500,175939
13430,-229376,70656,-67976,-17500,120270
13440,-229376,407552,-144304,-17500,10031
13450,6144,535552,-119944,468,107370
13460,46080,736256,-156368,3515,28389
13470,89088,785408,-157760,6796,60457
13480,135168,915456,-176784,10312,1355
13491,159744,904192,-168664,12187,53712
13501,159744,966656,-182816,12187,10064
13511,215040,900096,-155208,16406,76660
13521,215040,932864,-162632,16406,14923
13531,275456,916480,-145232,21015,9821
13541,291840,733184,-99992,22265,156077
13551,342016,803840,-104632,26093,73531
13561,369664,894976,-119016,28203,-20271
13571,369664,708608,-76792,28203,140490
13581,435200,858112,-95816,33203,-11232
13591,443392,676864,-52896,33828,119512
13601,443392,824320,-86304,33828,-11904
13611,443392,629760,-42224,33828,80441
13621,439296,585728,-33176,33515,100270
13631,439296,531456,-20880,33515,121534
13641,432128,550912,-26912,32968,92099
13651,419840,600064,-57768,32031,-53865
13661,409600,586752,-40136,31250,27361
13671,409600,571392,-36656,31250,36079
13681,376832,659456,-64032,28750,-40259
13691,376832,569344,-43616,28750,36733
13701,358400,642048,-64264,27343,-38273
13711,311296,521216,-47560,23750,53800
13721,311296,612352,-68208,23750,-57942
13731,311296,466944,-35264,23750,65264
13741,234496,475136,-54520,17890,-17218
13751,211968,412672,-45472,16171,-3922
13761,208896,252928,-9976,15937,90201
13771,199680,349184,-33872,15234,-43652
13781,199680,269312,-15776,15234,14787
