R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
35,1,25,35,1,25,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDRefZi,PIDSensXi,PIDSensZi,PIDPoutXi,PIDIoutXi,PIDDoutXi
11201,76.111,5250,0,32768,-407552,-117760,27860,-85,-13679
11206,78.430,5250,0,32768,-363520,-92160,24850,-69,-13679
11211,84.900,5250,0,32768,-395264,-68608,27020,-55,-13410
11216,90.759,5250,0,32768,-311296,-164864,21280,-44,-13410
11221,91.736,5250,0,32768,-351232,-90112,24010,-32,-5747
11226,79.895,5250,0,32768,-344064,-5120,23520,-20,-5747
11231,82.336,5250,0,32768,-385024,-16384,26320,-7,-5747
11236,63.416,5250,0,32768,-463872,-50176,31710,8,-5747
11241,62.683,5250,0,32768,-522240,-33792,35700,25,-18515
11246,-4.333,5250,0,32768,-492544,11264,33670,45,-18515
11251,-47.668,5250,0,32768,-473088,-5120,32340,62,-19458
11256,-8.240,5250,0,32768,-564224,-104448,38570,82,-4483
11261,-0.671,5250,0,32768,-464896,-133120,31780,100,-4483
11266,-45.471,5250,0,32768,-456704,-87040,31220,122,-4483
11271,-51.819,5250,0,32768,-484352,-68608,33110,140,-4483
11276,-74.280,5250,0,32768,-322560,-45056,22050,160,-4483
11281,-37.048,5250,0,32768,-262144,-17408,17920,177,-4483
11286,-57.312,5250,0,32768,-234496,-34816,16030,195,-2884
11291,-35.217,5250,0,32768,-367616,-70656,25130,213,-2884
11296,-13.367,5250,0,32768,-377856,-99328,25830,233,-2884
11301,20.447,5250,0,32768,-251904,-63488,17220,249,-2884
11306,17.273,5250,0,32768,-247808,-47104,16940,267,-2884
11311,27.039,5250,0,32768,-252928,-68608,17290,284,-6520
11316,20.569,5250,0,32768,-193536,-61440,13230,300,-6520
11321,3.357,5250,0,32768,-133120,-28672,9100,314,-6520
11326,8.240,5250,0,32768,-130048,-30720,8890,325,-6520
11331,46.936,5250,0,32768,-173056,-69632,11830,332,-156
11336,68.542,5250,0,32768,-185344,-128000,12670,340,-2978
11341,85.144,5250,0,32768,-172032,-155648,11760,347,-2978
