R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,100,0,500000,3000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDFFoutXi
91998,110592,-37888,33640,-25431,2822,277
92008,321536,65536,58000,-14791,94126,16366
92018,321536,-189440,115768,-420,-73886,4205
92028,458752,116736,77488,3220,112393,14791
92038,458752,152576,69368,5905,68090,4055
92048,458752,123904,75864,8414,-2892,1028
92058,648192,388096,58928,10843,132084,19192
92068,648192,287744,81664,13638,20275,5264
92078,615424,371712,55216,16086,40184,-3187
92088,594944,493568,22968,17586,78463,-2756
92098,466944,630784,-37120,18324,141975,-25190
92108,466944,454656,2784,15578,-36237,-6513
92118,466944,387072,18096,14018,-82882,-1810
92128,318464,417792,-22504,11245,-33311,-14219
92138,318464,462848,-32712,9184,47240,-3684
92148,196608,382976,-42224,5638,10109,-13221
92158,150528,199680,-11136,1596,-80518,-6559
92168,89088,151552,-14152,-393,-77053,-10303
92178,27648,281600,-57536,-1316,62180,-8433
92188,12288,87040,15080,-1529,-142194,-3238
92198,0,-108544,24592,-227,-116399,-2497
92208,0,-19456,4408,336,45,-660
92218,-4096,-89088,19256,1119,-11762,-446
92228,-4096,-102400,22272,1997,1652,-138
92238,-4096,27648,-7192,2717,97717,-52
92248,-4096,32768,-8352,2876,78968,-46
92258,-4096,-73728,15776,3140,-16570,-46
92268,-4096,-97280,15312,3584,-6954,-46
92278,-4096,-15360,2552,3994,48078,-46
92288,-4096,-105472,22968,4767,-10144,-46
92298,-4096,-146432,32248,5741,-26105,-46
92308,-4096,-157696,34800,6869,-19542,-46
92318,-4096,-113664,24824,7974,68,-46
92328,0,-152576,34568,9264,2765,323
92338,0,-138240,31320,10597,17579,67
92348,70656,-82944,34800,11940,-12014,8044
92358,70656,-186368,58232,13556,-45291,2197
92368,345088,-103424,101616,16421,5840,24777
92378,345088,-91136,98832,19587,-19289,6369
92388,412672,-14336,96744,22611,45,7305
92398,419840,87040,75400,25236,10981,2291
92408,419840,349184,16008,26840,129949,613
92418,419840,274432,32944,27953,10763,143
92428,439296,376832,14152,28888,59472,3082
92439,458752,221184,53824,30168,-54000,3045
92449,458752,176128,64032,31782,-73346,772
92459,458752,251904,46864,33091,-22869,195
92469,540672,412672,29000,34299,66357,9356
92479,536576,363520,41992,35867,6093,2081
92489,527360,465920,13920,36995,63121,-889
92499,527360,270336,58232,38180,-87345,-245
92509,527360,340992,42224,39200,-12588,-83
92519,527360,513024,3248,40092,80540,372
92529,527360,423936,23432,40652,-9272,79
92539,531456,231424,67976,41285,-141046,320
92549,536576,409600,28768,42063,-5439,347
92559,536576,505856,6960,42655,56294,79
92569,536576,443392,21112,43320,-827,0
92579,560128,556032,928,43930,66208,3466
