R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
477.229,-0.281,0.425,-2.479,-1.018,1.055,-0.188,-0.332,1.253,-0.402,1.385,-0.384,1.346
477.240,1.385,-0.113,-1.854,1.083,1.168,0.273,-0.476,1.103,-0.391,1.303,-0.396,1.294
477.251,0.572,-0.373,-0.990,1.427,1.128,0.319,-0.556,1.064,-0.423,1.221,-0.421,1.232
477.262,1.499,0.040,0.122,2.112,1.408,0.252,-0.555,1.165,-0.449,1.203,-0.446,1.206
477.273,0.033,-0.367,-0.752,0.411,1.417,0.030,-0.534,1.158,-0.499,1.175,-0.455,1.194
477.284,-0.617,-0.880,-1.034,0.962,1.243,0.126,-0.549,1.152,-0.515,1.170,-0.466,1.187
477.295,-0.750,-0.189,-1.003,0.464,1.263,-0.015,-0.577,1.124,-0.543,1.170,-0.489,1.166
477.306,-0.904,-1.069,-0.628,0.778,1.327,0.164,-0.585,1.117,-0.542,1.139,-0.503,1.153
477.317,-0.689,0.576,-1.454,-0.132,1.196,-0.020,-0.623,1.091,-0.576,1.171,-0.532,1.131
477.328,-0.283,-0.464,-1.799,-0.605,1.156,0.041,-0.679,0.960,-0.588,1.094,-0.553,1.098
477.339,1.376,0.933,-1.426,1.232,1.052,0.374,-0.732,0.858,-0.593,1.068,-0.590,1.044
477.350,1.078,0.630,-0.033,2.421,1.404,0.582,-0.760,0.936,-0.621,1.040,-0.612,1.015
477.361,1.113,1.005,0.011,2.036,1.517,0.825,-0.729,1.051,-0.652,1.051,-0.638,1.009
477.372,1.280,-0.379,0.164,1.817,1.384,0.622,-0.591,1.161,-0.613,1.013,-0.619,1.031
477.383,1.075,-1.160,-1.660,0.091,1.106,-0.028,-0.557,1.027,-0.609,0.978,-0.602,1.036
477.394,1.527,-1.381,-2.682,0.770,0.898,0.140,-0.649,0.927,-0.579,0.967,-0.593,1.024
477.405,2.468,-2.033,-1.784,-2.840,0.755,-0.367,-0.773,0.832,-0.585,0.945,-0.618,0.987
477.416,4.231,-3.172,-2.393,0.951,0.914,-0.143,-0.732,0.665,-0.533,0.860,-0.635,0.920
477.427,6.843,-5.882,-3.004,2.755,0.492,0.371,-0.680,0.557,-0.460,0.683,-0.636,0.826
477.438,12.774,-8.134,-1.661,2.213,0.897,0.168,-0.551,0.500,-0.311,0.532,-0.606,0.734
477.449,22.510,-10.959,-1.830,-0.238,1.150,-0.708,-0.167,0.321,0.041,0.405,-0.492,0.620
477.460,34.305,-17.383,1.105,1.217,1.286,-1.142,0.416,0.091,0.559,0.132,-0.247,0.476
