R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,200,80,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFRawR,aKFRawP,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
317.107,7.567,27.768,-0.726,0.794,-3.726,-8.476,-5.362,1.232,-5.030,1.935
317.119,-26.311,41.306,0.684,0.469,-3.541,-8.352,-5.213,0.952,-4.853,1.546
317.130,-33.529,30.842,1.062,0.565,-3.542,-8.739,-4.906,0.583,-4.624,1.164
317.142,-27.959,19.837,0.121,0.864,-4.798,-9.016,-4.722,0.246,-4.431,0.803
317.153,3.847,-0.711,-1.487,1.112,-5.584,-9.188,-4.727,-0.035,-4.346,0.491
317.165,39.586,-7.536,-3.003,0.842,-5.705,-9.276,-4.778,-0.163,-4.383,0.225
317.176,-2.314,-57.082,-4.041,0.063,-6.563,-10.582,-5.132,-0.483,-4.543,-0.072
317.188,7.579,-54.566,-4.826,-0.986,-7.145,-11.667,-5.564,-1.055,-4.822,-0.470
317.199,31.389,-50.457,-5.431,-1.992,-7.904,-12.221,-6.111,-1.685,-5.201,-0.971
317.211,38.303,-51.403,-5.329,-3.256,-7.624,-13.234,-6.540,-2.467,-5.610,-1.593
317.223,-27.883,-61.817,-4.303,-4.791,-8.117,-14.270,-7.052,-3.221,-6.003,-2.317
317.234,-46.352,-39.860,-2.931,-6.039,-7.960,-15.121,-7.498,-4.227,-6.364,-3.169
317.246,-29.183,-23.230,-1.688,-6.662,-7.597,-15.307,-7.711,-5.299,-6.628,-4.112
317.257,-13.395,-52.004,-0.821,-7.004,-7.626,-16.095,-7.804,-6.260,-6.788,-5.066
317.269,-79.602,-7.609,0.276,-6.889,-8.379,-16.249,-7.822,-7.241,-6.878,-6.011
317.280,-61.102,23.666,0.992,-5.969,-8.409,-15.789,-7.652,-8.300,-6.878,-6.944
317.292,-50.365,-13.972,0.681,-3.919,-8.942,-15.459,-7.371,-9.210,-6.804,-7.789
317.304,23.448,-64.723,-0.321,-1.891,-8.458,-16.246,-6.985,-9.901,-6.694,-8.481
317.315,26.812,-63.013,-0.733,-0.899,-7.911,-17.243,-6.846,-10.307,-6.607,-9.040
317.327,0.725,-73.939,-0.583,-1.009,-7.266,-18.957,-6.741,-10.773,-6.513,-9.558
317.338,25.515,-40.138,-0.337,-1.228,-6.683,-19.223,-6.614,-11.265,-6.400,-10.067
317.350,47.557,-33.208,-0.016,-1.485,-5.982,-19.576,-6.393,-11.678,-6.243,-10.570
317.361,71.307,-15.967,0.658,-1.914,-4.857,-19.760,-6.086,-12.083,-6.035,-11.075
317.373,-64.806,22.195,1.034,-1.986,-5.118,-19.539,-5.665,-12.601,-5.759,-11.585
317.384,-63.971,-4.987,0.554,-1.443,-5.318,-19.421,-5.083,-13.076,-5.431,-12.076
317.396,-40.168,-19.029,-1.161,-0.429,-5.488,-19.555,-4.540,-13.496,-5.105,-12.502
317.407,-1.315,-69.948,-2.968,0.392,-4.798,-20.503,-3.992,-13.756,-4.814,-12.838
317.419,-14.618,-65.264,-3.880,0.105,-4.440,-21.938,-3.659,-14.003,-4.573,-13.139
317.431,-14.898,-39.247,-4.449,-0.680,-4.136,-22.564,-3.339,-14.311,-4.347,-13.465
317.442,12.715,-35.690,-4.493,-1.619,-3.485,-23.056,-3.139,-14.644,-4.120,-13.814
317.454,39.269,9.067,-3.367,-2.154,-2.593,-22.799,-2.979,-14.993,-3.865,-14.177
317.465,-6.383,53.482,-1.418,-2.095,-2.209,-22.431,-2.712,-15.450,-3.520,-14.557
317.477,-21.970,39.613,-0.041,-1.169,-1.617,-22.377,-2.343,-15.959,-3.099,-14.942
317.488,15.320,16.003,0.222,0.788,-1.682,-21.722,-1.978,-16.213,-2.651,-15.221
317.500,57.009,0.630,0.399,2.576,-0.972,-21.327,-1.554,-16.235,-2.228,-15.350
317.512,47.067,29.925,1.391,3.554,-0.315,-20.733,-1.425,-16.101,-1.859,-15.365
317.523,18.866,42.717,2.963,4.120,0.463,-20.808,-1.178,-15.935,-1.488,-15.301
