R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
593.091,124.650,152.503,0.674,-2.843,9.577,6.420,6.280,9.164,6.459,10.023,3.571,6.609
593.102,123.315,140.521,3.935,-7.549,11.079,6.402,7.305,9.602,7.275,10.554,4.631,7.586
593.114,116.318,118.254,3.736,-6.759,12.867,6.975,8.264,9.525,8.039,10.526,5.693,8.318
593.125,103.809,90.106,4.640,-6.243,13.264,6.491,8.879,8.897,8.452,9.939,6.593,8.656
593.136,86.118,60.214,4.999,-11.317,13.407,5.000,9.141,7.954,8.567,9.045,7.309,8.626
593.147,63.816,30.629,4.120,-12.669,13.168,3.763,9.007,6.516,8.358,7.880,7.792,8.211
593.159,39.661,-1.514,2.183,-10.121,12.777,2.595,8.509,4.762,7.867,6.241,8.015,7.412
593.170,17.338,-29.968,0.978,-4.002,11.645,1.460,7.780,3.043,7.220,4.373,7.960,6.315
593.181,-2.377,-53.772,-0.779,0.146,10.195,0.910,6.890,1.538,6.425,2.520,7.665,5.050
593.192,-24.377,-74.119,-2.280,2.939,8.870,-0.479,5.662,0.127,5.351,0.666,7.127,3.692
593.203,-44.833,-87.649,-5.459,2.702,7.283,-1.891,4.092,-1.065,4.040,-0.937,6.332,2.339
593.214,-64.282,-96.683,-7.103,0.673,4.653,-4.257,2.222,-2.298,2.495,-2.344,5.277,1.003
593.225,-80.095,-102.084,-5.417,0.132,3.015,-5.378,0.485,-3.435,0.965,-3.596,4.038,-0.305
593.236,-96.284,-103.855,-2.405,-3.280,1.223,-6.563,-1.239,-4.567,-0.741,-4.722,2.669,-1.576
593.248,-108.232,-103.633,-0.850,-7.524,-0.446,-8.130,-2.913,-5.873,-2.503,-5.830,1.137,-2.904
593.260,-119.761,-99.960,-0.217,-11.228,-2.108,-9.382,-4.494,-7.129,-4.193,-6.759,-0.387,-4.171
593.271,-126.921,-95.146,1.231,-19.155,-3.601,-11.404,-5.907,-8.634,-5.745,-7.694,-1.900,-5.433
593.283,-133.508,-87.375,2.308,-24.027,-5.145,-13.131,-7.222,-10.248,-7.215,-8.614,-3.376,-6.743
593.295,-138.258,-76.506,3.404,-23.792,-6.447,-13.919,-8.405,-11.625,-8.569,-9.473,-4.793,-8.051
593.306,-136.626,-62.054,3.477,-20.824,-7.452,-13.959,-9.307,-12.630,-9.629,-10.182,-6.093,-9.272
593.318,-131.166,-44.541,3.699,-16.697,-8.585,-13.749,-10.073,-13.204,-10.503,-10.687,-7.264,-10.327
