R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,50,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFPT21R,aKFPT21P
131.142,3.385,-7.668,-0.118,2.383,4.221,1.350
131.154,-16.175,-38.783,-0.263,1.642,4.130,1.306
131.166,-37.151,-52.886,-0.751,0.584,3.944,1.202
131.178,-9.688,-14.758,-0.938,0.064,3.711,1.052
131.189,27.093,24.269,-0.928,-0.153,3.435,0.884
131.200,0.657,6.579,-0.739,-0.073,3.165,0.720
131.211,-45.192,-14.616,-1.125,-0.371,2.835,0.558
131.223,-6.144,-43.632,-1.371,-0.815,2.444,0.355
131.233,11.165,5.449,-1.056,-1.023,2.067,0.137
131.243,-15.101,36.512,-0.872,-0.715,1.698,-0.075
131.254,3.874,-54.501,-0.587,-0.856,1.360,-0.269
131.264,-6.219,33.564,-0.509,-0.947,1.065,-0.470
131.275,29.852,22.151,-0.113,-0.518,0.793,-0.648
131.285,-21.158,-56.188,-0.010,-1.095,0.525,-0.816
131.296,14.213,73.761,0.051,-1.034,0.236,-0.997
131.306,11.668,11.726,0.499,-0.201,-0.044,-1.109
131.316,-17.865,-56.673,0.545,-0.312,-0.350,-1.147
131.327,11.808,47.359,0.691,-0.186,-0.663,-1.148
131.337,10.579,6.457,1.147,0.385,-0.969,-1.100
131.348,8.678,-21.343,1.543,0.064,-1.284,-1.031
131.358,-43.795,8.970,1.651,-0.107,-1.587,-0.964
131.369,20.722,-7.445,1.904,-0.269,-1.841,-0.885
131.379,49.576,11.960,3.090,-0.279,-2.042,-0.792
131.389,-58.872,3.894,2.561,-0.048,-2.186,-0.664
131.400,49.230,-40.207,2.065,-0.152,-2.393,-0.531
131.410,66.340,15.099,2.465,-0.135,-2.564,-0.387
131.421,3.028,3.556,2.495,-0.020,-2.618,-0.213
131.432,31.926,-53.911,2.449,-0.186,-2.671,-0.031
131.443,-32.328,-48.073,1.789,-0.896,-2.724,0.116
131.454,-66.492,-2.798,0.509,-1.207,-2.769,0.206
131.466,-17.845,38.450,-0.439,-0.163,-2.831,0.279
131.477,16.346,67.645,-0.495,1.355,-2.851,0.396
131.489,0.222,40.685,-0.382,1.969,-2.813,0.574
131.500,-15.701,13.678,-0.505,2.109,-2.716,0.754
131.512,-9.911,32.805,-0.505,2.259,-2.583,0.918
131.524,-10.295,63.196,-0.408,2.256,-2.425,1.054
131.536,-39.500,48.797,-0.657,2.501,-2.249,1.167
131.547,-54.783,-12.251,-1.343,1.969,-2.058,1.241
131.559,-30.671,-16.244,-1.879,0.708,-1.895,1.240
131.571,-3.271,-43.372,-1.914,-0.399,-1.767,1.137
131.583,5.533,-19.678,-1.532,-1.233,-1.600,0.961
131.595,-23.886,-16.509,-1.502,-1.721,-1.378,0.768
131.607,-45.266,-36.142,-2.117,-2.029,-1.109,0.566
131.619,-62.902,-1.989,-2.728,-1.339,-0.818,0.398
131.630,-11.331,56.816,-2.747,0.027,-0.512,0.302
131.642,-3.414,79.685,-2.304,2.788,-0.168,0.341
131.654,-16.594,57.331,-1.938,5.461,0.231,0.581
131.666,-23.431,40.040,-1.863,6.979,0.670,0.931
131.678,-6.907,23.769,-1.339,7.325,1.116,1.339
131.689,33.678,18.483,-0.452,6.833,1.517,1.728
131.701,47.460,-9.925,1.004,5.726,1.917,2.047
131.713,21.246,-23.365,2.541,3.942,2.375,2.275
131.725,2.421,-22.612,3.722,1.792,2.919,2.396
131.737,16.064,-47.880,4.429,-0.128,3.501,2.381
131.748,28.389,-30.221,4.841,-1.538,4.118,2.265
131.760,36.132,-13.531,5.458,-2.487,4.709,2.055
131.772,48.394,-18.643,5.756,-2.997,5.299,1.791
131.784,38.764,-50.054,5.889,-3.777,5.859,1.491
131.796,-10.218,-72.490,5.031,-4.714,6.362,1.140
131.807,-15.386,-72.628,3.190,-5.463,6.764,0.774
131.819,-35.941,-38.377,1.025,-5.386,7.029,0.422
131.831,-20.559,2.576,-0.638,-4.443,7.162,0.145
131.843,-7.445,19.724,-1.969,-2.406,7.133,-0.010
131.855,-10.096,34.153,-2.926,-0.133,6.947,-0.034
131.866,-48.326,28.302,-3.941,1.762,6.633,0.078
131.878,-41.478,3.284,-5.695,3.615,6.174,0.331
131.890,-50.137,27.048,-7.610,5.543,5.563,0.729
131.902,-35.822,35.806,-9.024,7.393,4.833,1.272
131.914,-25.494,13.119,-9.844,8.666,4.029,1.939
131.925,-57.851,-10.652,-10.108,8.914,3.173,2.671
131.937,-63.807,-16.524,-10.169,8.973,2.244,3.416
131.949,-10.449,79.583,-9.819,9.439,1.318,4.136
131.960,-16.516,27.694,-8.920,9.576,0.441,4.905
131.971,-50.861,-35.095,-7.984,8.100,-0.418,5.609
131.983,-72.192,15.638,-7.085,6.344,-1.259,6.162
131.995,-4.815,29.627,-5.408,5.390,-2.053,6.574
132.006,56.320,-20.436,-3.464,4.552,-2.798,6.839
132.017,-37.183,17.564,-2.378,3.846,-3.477,6.962
132.028,-27.902,12.981,-2.055,3.578,-4.087,6.970
132.038,-2.914,37.261,-1.680,3.178,-4.666,6.890
132.049,32.517,21.103,-0.432,3.387,-5.156,6.770
132.059,28.921,-60.122,0.865,1.773,-5.557,6.554
132.070,-7.646,30.608,1.914,1.670,-5.835,6.264
132.080,-6.917,-21.070,1.472,1.380,-6.080,5.942
132.090,29.024,60.904,1.410,1.254,-6.339,5.575
132.101,-27.660,-12.528,0.779,1.391,-6.585,5.178
132.111,-21.037,46.868,0.200,1.849,-6.869,4.754
132.122,3.497,13.503,0.296,2.301,-7.133,4.362
