R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,40,120,30,100,155,300,0,0,0.995
sysTime,PIDRefX,PIDSensX,PIDPoutX,PIDIoutX,PIDDoutX,PIDUX
257.711,0.000,1.664,-0.029,0.102,0.093,-0.020
257.722,0.000,-0.218,0.003,0.099,-0.126,0.229
257.733,0.000,-0.366,0.006,0.100,-0.066,0.173
257.744,0.000,-0.893,0.015,0.103,-0.055,0.173
257.755,0.000,-0.366,0.006,0.105,0.027,0.084
257.766,0.000,-1.492,0.026,0.109,-0.040,0.176
257.776,0.000,-1.777,0.031,0.114,-0.044,0.189
257.788,0.000,-0.546,0.009,0.117,0.076,0.050
257.799,0.000,-0.035,0.000,0.117,0.068,0.049
257.810,0.000,0.542,-0.009,0.117,0.102,0.005
257.821,0.000,1.404,-0.024,0.114,0.130,-0.040
257.833,0.000,0.645,-0.011,0.113,0.050,0.051
257.844,0.000,1.273,-0.022,0.110,0.071,0.016
257.856,0.000,-0.472,0.008,0.109,-0.100,0.218
257.867,0.000,0.411,-0.007,0.109,0.031,0.071
257.879,0.000,0.161,-0.002,0.109,0.014,0.092
257.890,0.000,-0.965,0.016,0.110,-0.089,0.216
257.902,0.000,0.593,-0.010,0.112,0.133,-0.031
257.912,0.000,0.190,-0.003,0.112,0.073,0.035
257.923,0.000,-1.967,0.034,0.117,-0.070,0.221
257.935,0.000,-0.904,0.015,0.121,0.048,0.088
257.946,0.000,-0.961,0.016,0.124,0.042,0.098
257.958,0.000,-2.047,0.035,0.129,-0.054,0.220
257.969,0.000,-1.990,0.034,0.134,-0.064,0.234
257.981,0.000,-2.173,0.038,0.141,-0.041,0.220
257.992,0.000,-3.141,0.054,0.148,-0.110,0.313
258.004,0.000,-1.194,0.020,0.154,0.103,0.072
258.015,0.000,-0.349,0.006,0.156,0.111,0.051
258.027,0.000,1.149,-0.020,0.155,0.172,-0.036
258.037,0.000,-0.502,0.008,0.155,0.005,0.158
258.048,0.000,-0.978,0.017,0.156,-0.079,0.252
258.060,0.000,-0.733,0.012,0.158,-0.030,0.201
258.072,0.000,0.160,-0.002,0.160,0.079,0.077
258.083,0.000,0.387,-0.006,0.160,0.093,0.060
258.095,0.000,0.048,-0.000,0.160,0.047,0.112
258.106,0.000,-1.300,0.022,0.160,-0.127,0.310
258.118,0.000,-0.610,0.010,0.162,-0.045,0.219
258.130,0.000,-0.986,0.017,0.167,-0.008,0.192
258.141,0.000,-0.316,0.005,0.169,0.053,0.121
