R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.001000,0.003000,10,250,1,250,1,50,500,0,0
sysTime,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
659.784,-17.986,-0.056,-15.284,-15.380,-11.404
659.795,-12.045,-0.085,-17.366,-17.470,-13.198
659.807,-15.455,-0.380,-19.435,-19.536,-15.075
659.818,-8.495,-0.373,-21.309,-21.416,-16.980
659.830,7.675,0.174,-22.814,-22.956,-18.812
659.842,-2.305,0.505,-23.932,-24.093,-20.465
659.853,10.556,1.024,-24.314,-24.485,-21.792
659.865,11.295,1.267,-23.946,-24.127,-22.695
659.876,15.381,1.420,-22.851,-23.040,-23.002
659.886,2.159,1.256,-21.159,-21.334,-22.726
659.896,19.970,1.601,-18.986,-19.185,-21.918
659.907,-1.983,1.187,-16.375,-16.546,-20.572
659.917,-2.459,1.170,-13.382,-13.553,-18.756
659.927,-30.283,0.428,-10.240,-10.352,-16.524
659.937,-43.207,-0.775,-6.969,-7.032,-13.963
659.948,57.601,2.565,-3.638,-3.853,-11.180
659.958,41.518,2.592,-0.744,-0.955,-8.343
659.968,-25.648,-0.225,1.716,1.642,-5.563
659.978,-32.306,-1.257,4.066,4.045,-2.823
659.988,-0.263,-1.382,5.949,5.942,-0.349
660.001,7.902,-1.668,7.737,7.735,2.259
660.011,-17.414,-2.918,8.754,8.811,4.084
660.021,6.817,-2.638,9.377,9.413,5.598
660.031,-26.219,-3.671,9.598,9.691,6.749
660.041,-15.144,-3.525,9.612,9.689,7.567
660.052,-40.527,-4.000,9.196,9.301,8.047
660.062,-25.288,-3.222,8.626,8.706,8.221
660.072,0.002,-2.873,7.844,7.910,8.117
660.082,-32.736,-3.488,6.943,7.047,7.771
660.092,14.225,-2.045,6.049,6.106,7.261
660.104,29.035,-1.278,5.046,5.076,6.493
660.115,15.358,-1.527,4.139,4.167,5.756
660.125,25.498,-1.284,3.272,3.277,4.988
660.135,-24.218,-3.034,2.313,2.423,4.189
660.145,-45.805,-4.603,1.327,1.526,3.348
660.157,-16.646,-3.787,0.332,0.495,2.314
660.169,22.681,-2.805,-0.470,-0.371,1.321
660.179,0.102,-3.036,-1.223,-1.118,0.537
660.189,-40.008,-5.376,-2.051,-1.838,-0.240
660.199,-15.051,-4.655,-2.486,-2.332,-0.949
660.209,8.586,-3.885,-2.739,-2.640,-1.539
660.219,28.312,-1.791,-2.947,-2.928,-2.033
660.229,13.252,-1.886,-3.188,-3.131,-2.446
660.240,-55.483,-4.242,-3.313,-3.147,-2.753
660.250,5.302,-2.784,-3.232,-3.140,-2.971
660.260,27.824,-1.523,-3.033,-3.012,-3.077
660.270,4.768,-1.968,-2.791,-2.756,-3.082
660.280,-9.858,-3.068,-2.543,-2.461,-3.002
660.290,-17.778,-3.096,-2.126,-2.052,-2.829
660.300,-13.926,-3.031,-1.517,-1.456,-2.538
660.310,33.097,-1.167,-0.820,-0.859,-2.147
660.320,19.444,-0.612,-0.205,-0.282,-1.695
660.330,-26.584,-1.758,0.460,0.437,-1.179
660.340,-28.088,-2.076,1.237,1.217,-0.580
660.350,31.337,0.243,2.125,1.984,0.068
660.361,32.393,0.527,2.905,2.765,0.775
660.371,-31.283,-2.099,3.570,3.549,1.504
660.381,-49.357,-3.503,4.131,4.195,2.211
660.391,33.028,-1.177,4.797,4.766,2.898
660.401,17.986,-1.086,5.281,5.253,3.529
660.413,-1.018,-1.673,5.467,5.499,4.162
660.423,5.265,-1.746,5.447,5.479,4.517
660.435,8.548,-1.276,5.307,5.326,4.760
660.445,17.967,-0.353,4.931,4.897,4.779
660.457,-12.460,-0.377,4.442,4.392,4.621
660.470,-44.297,0.442,3.585,3.517,4.260
660.480,27.312,2.274,2.906,2.766,3.810
660.490,14.413,2.537,2.184,2.042,3.282
660.500,9.456,1.620,1.318,1.212,2.664
660.510,-21.834,-0.252,0.317,0.295,1.960
660.520,-14.125,-0.574,-0.647,-0.663,1.184
660.532,9.873,-0.181,-1.611,-1.662,0.189
660.544,16.227,-0.058,-2.492,-2.549,-0.781
660.554,17.088,0.137,-3.011,-3.080,-1.510
660.564,-38.440,-2.614,-3.520,-3.472,-2.148
660.575,-35.172,-2.776,-3.744,-3.697,-2.683
660.585,-5.905,-2.055,-3.852,-3.862,-3.126
660.595,9.368,-0.743,-3.724,-3.824,-3.431
660.605,12.046,-0.520,-3.492,-3.612,-3.585
