R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,20,20,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,3000,300,300,100,25,25
sysTime,GRawXi,GPT1Xi133,GPT1Xi200,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
146.325,-9,-1,-1,0.000,-0.297,0.000,1.450,0.224,1.330
146.331,-6,-1,-2,0.000,-0.446,0.000,1.519,0.832,1.850
146.337,-4,-1,-1,0.000,-0.297,0.000,1.285,1.517,1.012
146.342,6,1,1,0.000,-0.297,0.000,-0.235,0.772,0.420
146.348,3,0,0,0.000,-0.297,0.000,-0.690,0.830,2.363
146.354,-6,-2,-3,0.000,-0.297,0.000,0.775,2.091,2.438
146.359,3,-2,-2,0.000,-0.297,0.000,0.350,2.200,-0.183
146.365,5,1,2,0.000,-0.297,0.000,-0.208,0.497,0.640
146.371,4,1,2,0.000,-0.297,0.000,-1.279,-0.047,1.132
146.377,-7,-2,-3,0.000,-0.297,0.000,0.020,1.011,1.444
146.382,-3,-2,-2,0.000,-0.297,0.000,0.935,0.998,-0.547
146.388,-1,1,1,0.000,-0.297,0.000,0.695,-0.376,-0.713
146.394,-4,0,0,0.000,-0.297,0.000,0.120,-1.559,1.144
146.399,-4,-2,-2,0.000,-0.297,0.000,0.847,0.024,1.557
146.405,3,-2,-2,0.000,-0.297,0.000,-0.389,-0.575,0.066
146.411,7,0,1,0.000,-0.297,0.000,-1.057,-0.639,1.210
146.416,-4,-1,-1,0.000,-0.297,0.000,0.463,-1.119,1.385
146.422,-4,-1,-1,0.000,-0.297,0.000,1.294,0.227,-0.984
146.428,10,0,0,0.000,-0.297,0.000,0.827,-1.119,1.076
146.433,-9,-1,-1,0.000,-0.297,0.000,0.709,0.401,0.433
146.439,5,-1,-1,0.000,-0.297,0.000,0.303,1.533,0.385
146.445,-2,-2,-2,0.000,-0.297,0.000,1.202,1.030,-0.589
146.451,15,0,1,0.000,-0.297,0.000,-0.274,0.690,1.594
146.456,-23,-4,-6,0.000,-0.297,0.000,1.208,-1.452,1.194
146.462,-9,-1,-1,0.000,-0.297,0.000,1.985,-2.297,1.034
