R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,40,5,40,5,50,175,0,0,0.995
sysTime,ARawX,ARawY,ARawZ,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
142.438,-0.713,0.079,9.819,0.151,0.641,0.673,0.625,0.555,0.657,0.638
142.449,0.062,-0.186,9.668,0.259,0.637,0.666,0.626,0.559,0.644,0.634
142.460,-0.339,0.280,9.273,0.493,0.628,0.647,0.627,0.575,0.622,0.631
142.470,1.248,1.071,10.092,0.785,0.612,0.620,0.624,0.593,0.594,0.627
142.481,1.284,1.142,10.071,0.786,0.621,0.628,0.621,0.604,0.605,0.626
142.491,0.350,0.057,10.042,0.750,0.648,0.656,0.623,0.630,0.636,0.630
142.502,0.781,-0.114,10.085,0.500,0.651,0.671,0.629,0.600,0.649,0.634
142.513,0.019,-1.544,9.941,-0.452,0.621,0.681,0.637,0.445,0.645,0.629
142.523,0.213,0.941,9.970,-0.449,0.604,0.663,0.630,0.415,0.605,0.600
142.534,0.378,0.790,9.410,-0.272,0.613,0.664,0.627,0.431,0.588,0.578
142.545,1.162,-0.782,9.295,-0.229,0.592,0.642,0.619,0.405,0.553,0.558
142.555,0.867,-0.409,9.374,-0.457,0.572,0.633,0.616,0.342,0.529,0.539
142.566,3.109,0.884,9.007,-0.142,0.600,0.648,0.613,0.396,0.530,0.521
142.576,2.462,0.819,8.971,0.108,0.598,0.635,0.612,0.420,0.508,0.512
142.587,2.491,1.739,9.151,0.518,0.586,0.603,0.608,0.456,0.470,0.501
142.598,1.442,2.328,9.503,1.179,0.633,0.620,0.607,0.588,0.486,0.499
142.608,0.170,-2.363,9.992,1.380,0.655,0.633,0.620,0.643,0.512,0.523
142.619,1.119,-2.995,9.891,1.930,0.665,0.623,0.635,0.734,0.532,0.567
142.630,-1.208,-1.113,10.725,1.895,0.665,0.623,0.644,0.762,0.564,0.608
142.640,-0.928,-2.305,10.581,1.508,0.689,0.659,0.647,0.770,0.627,0.636
142.651,1.212,1.782,10.315,1.493,0.677,0.647,0.654,0.775,0.632,0.661
142.662,-2.135,-2.090,9.431,1.225,0.691,0.675,0.666,0.762,0.673,0.685
142.672,3.497,2.306,10.308,1.366,0.647,0.630,0.667,0.733,0.643,0.701
142.683,-1.532,-1.149,9.086,0.954,0.678,0.682,0.658,0.712,0.699,0.696
142.694,-2.437,0.948,11.580,0.891,0.638,0.647,0.650,0.659,0.669,0.691
142.704,9.252,-0.811,7.053,0.691,0.600,0.631,0.641,0.569,0.656,0.686
142.715,-10.628,-0.840,10.322,0.497,0.552,0.599,0.628,0.476,0.623,0.669
142.726,7.441,-0.229,10.847,0.770,0.544,0.580,0.616,0.504,0.605,0.656
142.736,-3.141,5.374,11.120,1.516,0.479,0.490,0.607,0.515,0.526,0.656
142.747,3.116,-5.100,9.855,0.351,0.515,0.580,0.624,0.416,0.625,0.680
142.758,-5.915,0.438,9.683,0.858,0.491,0.550,0.627,0.411,0.591,0.679
142.769,-3.465,1.502,15.100,1.480,0.441,0.491,0.620,0.404,0.547,0.684
142.779,7.643,2.026,8.152,1.510,0.343,0.396,0.582,0.319,0.470,0.661
142.790,-3.680,0.266,12.557,1.024,0.195,0.256,0.516,0.166,0.342,0.603
142.801,-2.035,-4.210,11.084,0.039,0.066,0.169,0.420,-0.066,0.258,0.505
142.811,0.788,0.553,11.177,0.089,-0.078,0.050,0.305,-0.277,0.131,0.379
142.822,0.321,4.749,13.900,0.275,-0.323,-0.152,0.166,-0.615,-0.061,0.243
142.833,4.352,-4.748,7.757,-0.496,-0.667,-0.434,-0.018,-1.103,-0.341,0.053
142.843,-4.470,1.897,12.004,0.348,-0.896,-0.680,-0.222,-1.273,-0.587,-0.158
142.854,-0.418,5.137,12.392,1.390,-1.189,-0.984,-0.455,-1.485,-0.853,-0.362
142.865,7.003,-5.855,8.727,0.426,-1.548,-1.293,-0.683,-1.923,-1.125,-0.565
142.876,-3.350,0.223,11.824,1.130,-1.816,-1.562,-0.910,-2.136,-1.363,-0.771
142.886,-4.463,8.629,14.411,2.268,-1.967,-1.716,-1.114,-2.208,-1.460,-0.927
142.897,0.953,0.769,9.755,1.397,-2.061,-1.759,-1.290,-2.362,-1.451,-1.056
142.908,3.188,-8.442,10.265,0.012,-2.273,-1.900,-1.478,-2.704,-1.560,-1.218
142.919,1.054,7.092,10.581,2.114,-2.427,-2.127,-1.660,-2.601,-1.742,-1.362
142.929,-3.141,8.076,9.546,3.039,-2.554,-2.296,-1.820,-2.524,-1.830,-1.448
142.940,-5.520,-6.846,13.663,0.608,-2.605,-2.276,-1.943,-2.680,-1.750,-1.514
142.951,6.802,-6.257,11.422,-0.799,-2.702,-2.330,-2.050,-2.848,-1.783,-1.604
142.962,5.954,3.679,7.455,0.250,-2.674,-2.361,-2.125,-2.625,-1.792,-1.658
142.973,-8.358,5.863,12.176,1.159,-2.585,-2.296,-2.145,-2.415,-1.686,-1.637
142.983,-5.225,0.776,12.909,0.370,-2.476,-2.145,-2.113,-2.364,-1.500,-1.568
142.994,3.353,-5.862,8.023,-0.698,-2.407,-2.009,-2.055,-2.428,-1.351,-1.493
143.005,5.976,-4.612,11.378,-0.838,-2.289,-1.882,-1.978,-2.310,-1.221,-1.410
143.016,6.673,3.355,12.456,0.513,-2.149,-1.789,-1.883,-2.017,-1.114,-1.297
143.026,-7.366,5.834,9.201,1.008,-1.974,-1.640,-1.756,-1.729,-0.937,-1.138
143.037,-13.150,2.967,11.098,1.065,-1.780,-1.443,-1.604,-1.504,-0.715,-0.956
143.048,-2.193,-3.592,13.994,-0.293,-1.687,-1.322,-1.458,-1.456,-0.583,-0.795
143.059,5.889,-5.488,12.485,-1.152,-1.521,-1.122,-1.316,-1.367,-0.396,-0.660
143.069,11.436,-6.803,7.858,-1.806,-1.326,-0.915,-1.152,-1.209,-0.215,-0.517
143.080,7.657,-4.360,8.634,-1.956,-1.171,-0.750,-0.980,-1.098,-0.087,-0.376
143.091,-2.099,4.613,11.874,0.071,-0.972,-0.594,-0.804,-0.793,0.046,-0.216
143.102,-6.482,7.774,12.298,2.032,-0.743,-0.424,-0.611,-0.384,0.232,-0.003
143.113,-8.171,7.163,10.789,1.861,-0.571,-0.229,-0.423,-0.240,0.446,0.209
143.124,-4.456,4.699,10.028,1.096,-0.414,-0.037,-0.234,-0.145,0.646,0.410
143.134,1.700,-6.674,11.637,-1.346,-0.241,0.206,-0.040,-0.158,0.866,0.585
143.145,1.047,-11.107,11.989,-2.876,-0.051,0.440,0.158,-0.120,1.036,0.726
143.156,3.748,-8.341,10.861,-2.932,0.181,0.650,0.364,0.118,1.175,0.866
143.167,9.777,4.606,8.447,-0.693,0.462,0.830,0.564,0.610,1.295,1.013
143.178,4.639,6.704,9.532,0.461,0.686,1.007,0.769,0.932,1.443,1.193
143.188,-13.739,2.874,11.048,0.280,0.846,1.158,0.959,1.093,1.567,1.360
143.199,-16.082,0.295,11.386,-0.177,1.052,1.382,1.156,1.226,1.754,1.524
143.210,3.482,-1.989,11.105,-1.020,1.155,1.503,1.312,1.246,1.827,1.636
143.221,12.205,-3.671,10.919,-1.566,1.251,1.618,1.455,1.246,1.882,1.722
143.231,11.372,-6.487,7.261,-2.308,1.302,1.686,1.565,1.195,1.881,1.765
143.242,6.040,-3.160,7.563,-2.369,1.323,1.723,1.655,1.117,1.839,1.778
143.253,-6.123,6.639,12.320,-0.033,1.427,1.769,1.743,1.317,1.830,1.812
143.264,-10.391,8.004,14.741,1.069,1.511,1.834,1.813,1.431,1.872,1.859
143.275,-13.200,5.353,14.504,1.502,1.545,1.889,1.884,1.408,1.915,1.917
143.285,-3.968,-0.574,9.338,0.472,1.632,2.023,1.966,1.369,2.025,1.977
143.296,4.891,-1.206,7.908,-0.460,1.619,2.051,2.029,1.226,2.012,1.999
143.307,13.692,-3.807,7.269,-1.524,1.623,2.102,2.083,1.080,2.010,1.999
143.318,11.867,-3.908,6.816,-2.183,1.661,2.159,2.151,1.018,1.998,1.999
143.330,6.198,-4.210,6.830,-2.458,1.566,2.081,2.172,0.829,1.847,1.946
143.341,-4.600,-1.055,9.848,-2.070,1.473,1.988,2.149,0.689,1.686,1.852
143.351,-4.966,-0.732,11.881,-1.792,1.387,1.891,2.096,0.587,1.529,1.737
143.362,1.305,-2.011,12.880,-2.034,1.252,1.757,2.013,0.413,1.339,1.593
143.373,3.576,-3.671,10.775,-2.230,1.121,1.606,1.924,0.288,1.132,1.442
143.384,2.742,-1.357,9.173,-1.365,1.007,1.435,1.801,0.280,0.918,1.271
143.395,0.091,5.468,9.194,0.425,0.812,1.146,1.643,0.300,0.616,1.090
143.406,-2.875,11.431,9.640,2.114,0.694,0.961,1.472,0.361,0.446,0.927
143.417,-3.888,11.230,10.674,2.443,0.434,0.723,1.301,0.079,0.239,0.778
143.428,-2.401,2.953,11.026,0.805,0.020,0.390,1.068,-0.493,-0.062,0.567
143.439,1.334,-6.264,9.403,-2.170,-0.428,0.083,0.782,-1.281,-0.382,0.257
143.450,4.596,-10.777,6.464,-4.159,-0.841,-0.222,0.469,-1.971,-0.732,-0.109
143.461,0.960,-6.652,7.973,-4.042,-1.133,-0.513,0.156,-2.295,-1.072,-0.481
143.472,-4.298,1.329,10.940,-3.147,-1.563,-0.939,-0.178,-2.742,-1.531,-0.861
143.483,-5.929,7.839,13.297,-0.808,-1.750,-1.200,-0.483,-2.735,-1.791,-1.175
143.493,-0.619,5.295,11.414,0.049,-2.041,-1.510,-0.787,-2.931,-2.067,-1.455
143.504,5.336,2.091,8.081,0.142,-2.291,-1.754,-1.084,-3.140,-2.268,-1.717
143.515,8.368,-1.328,7.233,-0.699,-2.547,-1.964,-1.362,-3.445,-2.439,-1.964
143.526,4.337,-0.933,7.843,-1.022,-2.758,-2.170,-1.601,-3.622,-2.612,-2.177
143.537,-2.344,-1.594,11.192,-1.699,-2.924,-2.324,-1.834,-3.771,-2.741,-2.390
143.548,-8.049,-5.977,12.966,-2.414,-3.035,-2.435,-2.033,-3.848,-2.835,-2.576
143.558,-1.640,-2.435,8.504,-1.712,-3.070,-2.526,-2.193,-3.717,-2.908,-2.719
143.569,1.025,3.851,6.838,-0.664,-3.120,-2.654,-2.343,-3.540,-3.000,-2.835
143.581,0.666,8.687,7.606,1.716,-3.155,-2.814,-2.483,-3.207,-3.088,-2.905
143.592,1.047,7.257,9.553,2.575,-3.158,-2.858,-2.593,-3.024,-3.038,-2.922
143.603,1.449,3.966,9.798,2.156,-3.137,-2.825,-2.642,-2.942,-2.916,-2.881
143.614,5.573,-2.586,9.022,0.697,-3.294,-2.909,-2.715,-3.202,-2.927,-2.880
143.626,6.457,-4.296,7.024,-0.279,-3.374,-2.940,-2.788,-3.342,-2.906,-2.901
143.637,4.460,-2.456,6.952,-0.235,-3.425,-2.983,-2.851,-3.359,-2.903,-2.916
143.649,-3.831,5.101,9.525,1.018,-3.360,-2.962,-2.881,-3.131,-2.825,-2.886
143.661,-5.692,7.207,11.738,1.795,-3.322,-2.919,-2.882,-3.030,-2.712,-2.813
143.672,-2.099,2.845,10.976,1.152,-3.385,-2.943,-2.870,-3.111,-2.669,-2.731
143.684,4.345,-3.793,8.749,-0.771,-3.462,-2.909,-2.904,-3.397,-2.593,-2.720
143.695,6.292,-8.111,6.708,-2.663,-3.417,-2.755,-2.893,-3.581,-2.432,-2.698
143.707,2.915,-8.384,5.674,-3.517,-3.305,-2.600,-2.838,-3.562,-2.294,-2.652
143.719,-4.629,-2.406,6.873,-2.434,-3.214,-2.511,-2.738,-3.458,-2.218,-2.557
143.730,-8.041,3.542,7.887,0.009,-2.994,-2.388,-2.645,-2.977,-2.075,-2.438
143.742,-6.676,6.531,10.028,1.563,-2.693,-2.120,-2.473,-2.542,-1.762,-2.212
143.754,-0.282,4.965,10.085,1.262,-2.442,-1.850,-2.264,-2.279,-1.451,-1.952
143.765,8.598,-2.040,8.828,-0.024,-2.194,-1.532,-2.034,-2.155,-1.109,-1.688
143.777,6.414,-4.008,6.658,-1.112,-1.900,-1.184,-1.774,-1.964,-0.764,-1.417
143.788,0.271,-2.399,6.069,-1.275,-1.541,-0.800,-1.469,-1.661,-0.398,-1.118
143.800,-7.984,0.352,8.095,-0.708,-1.188,-0.461,-1.152,-1.270,-0.076,-0.804
143.812,-11.253,0.366,10.624,-0.456,-0.744,-0.028,-0.787,-0.802,0.340,-0.442
143.823,0.450,-2.665,9.920,-0.780,-0.379,0.345,-0.424,-0.461,0.689,-0.090
143.835,9.123,-1.616,6.694,-0.437,-0.039,0.655,-0.072,-0.064,0.970,0.245
143.846,7.808,5.777,5.178,1.385,0.339,0.939,0.271,0.525,1.238,0.586
143.858,-1.704,6.941,10.574,1.685,0.670,1.260,0.605,0.886,1.558,0.929
143.869,1.169,-1.723,9.065,-0.346,0.894,1.566,0.927,0.911,1.836,1.236
143.881,7.599,-7.946,4.862,-2.730,0.934,1.727,1.180,0.624,1.927,1.427
143.892,5.243,-3.081,6.083,-3.087,1.088,1.890,1.398,0.689,2.000,1.562
143.904,-4.930,1.049,10.128,-2.643,1.235,2.012,1.595,0.828,2.036,1.680
143.916,-6.798,-4.504,8.540,-3.625,1.110,1.947,1.707,0.503,1.884,1.709
143.927,0.371,-7.845,3.231,-5.071,0.967,1.939,1.763,-0.023,1.767,1.657
143.939,0.982,-0.294,7.556,-3.787,0.975,1.957,1.804,-0.109,1.683,1.596
143.950,-2.919,1.854,11.422,-2.586,0.924,1.869,1.836,-0.123,1.518,1.551
143.962,-3.414,-0.825,10.150,-2.740,0.706,1.667,1.799,-0.414,1.250,1.446
143.974,2.613,-3.031,4.675,-3.396,0.402,1.435,1.679,-0.918,0.948,1.250
143.985,4.064,-0.028,6.514,-2.788,0.061,1.075,1.479,-1.247,0.527,0.982
143.997,2.211,2.924,10.437,-2.128,-0.211,0.764,1.242,-1.450,0.173,0.694
144.008,-0.361,-0.437,11.357,-2.648,-0.602,0.395,0.958,-1.897,-0.232,0.363
144.020,2.908,-1.264,7.204,-3.451,-0.933,0.125,0.652,-2.376,-0.546,0.003
144.031,7.312,-0.538,5.889,-3.604,-1.190,-0.123,0.361,-2.665,-0.841,-0.342
144.043,9.137,1.423,6.758,-2.661,-1.206,-0.190,0.126,-2.571,-0.942,-0.617
144.054,4.783,8.004,9.302,-0.378,-1.377,-0.448,-0.069,-2.527,-1.201,-0.821
144.066,-4.708,7.659,11.091,2.015,-1.515,-0.685,-0.264,-2.384,-1.390,-0.975
144.077,-10.700,2.249,11.953,3.141,-1.500,-0.720,-0.408,-2.165,-1.342,-1.042
144.088,-11.842,-4.080,11.414,2.316,-1.695,-0.891,-0.531,-2.323,-1.432,-1.088
144.099,-2.207,-11.653,13.081,-0.824,-2.129,-1.237,-0.748,-2.895,-1.735,-1.269
144.111,6.608,-13.615,12.959,-2.967,-2.456,-1.531,-1.014,-3.270,-2.019,-1.534
