R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,100,5,100,5,50,175,0,0,0.995
sysTime,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R
251.127,1.709,0.976,-2.488,-2.334,-2.527,-1.793,-1.351
251.139,5.051,0.943,-2.391,-2.213,-2.465,-1.715,-1.195
251.149,10.365,0.441,-2.235,-2.012,-2.366,-1.648,-0.971
251.161,17.864,0.385,-1.900,-1.661,-2.172,-1.324,-0.601
251.171,20.531,0.418,-1.676,-1.416,-1.965,-1.135,-0.349
251.181,21.606,0.718,-1.470,-1.203,-1.745,-0.923,-0.130
251.192,24.665,1.089,-1.114,-0.858,-1.453,-0.509,0.222
251.202,25.621,1.378,-0.804,-0.564,-1.179,-0.134,0.523
251.213,27.526,0.485,-0.558,-0.237,-0.892,-0.100,0.843
251.223,26.935,0.440,-0.321,0.020,-0.609,0.077,1.081
251.234,28.228,0.589,-0.016,0.355,-0.282,0.300,1.391
251.244,27.384,0.767,0.204,0.617,0.005,0.410,1.628
251.256,25.793,0.524,0.388,0.910,0.327,0.291,1.881
251.268,24.717,0.255,0.600,1.176,0.623,0.348,2.098
251.279,23.641,-0.138,0.828,1.449,0.907,0.438,2.310
251.291,21.406,-0.239,1.031,1.657,1.159,0.609,2.451
251.302,19.103,-0.342,1.200,1.829,1.379,0.745,2.554
251.314,15.131,-0.392,1.306,1.918,1.559,0.875,2.572
251.324,12.883,-0.015,1.462,2.007,1.694,1.186,2.604
251.334,10.193,-0.116,1.510,2.047,1.795,1.232,2.592
251.344,7.556,-0.441,1.513,2.057,1.867,1.187,2.544
251.354,2.740,0.071,1.500,1.984,1.906,1.309,2.419
251.364,-1.380,-0.347,1.414,1.921,1.906,1.133,2.308
251.374,-3.909,-0.603,1.331,1.852,1.865,0.982,2.183
251.384,-10.582,-0.218,1.109,1.615,1.771,0.779,1.901
251.394,-13.176,-0.766,0.877,1.429,1.634,0.401,1.671
251.405,-17.002,-0.695,0.608,1.160,1.458,0.116,1.359
251.415,-19.120,-0.187,0.382,0.900,1.253,-0.025,1.070
251.425,-20.864,-0.278,0.103,0.640,1.039,-0.356,0.789
251.436,-21.912,-0.379,-0.167,0.378,0.786,-0.648,0.505
251.446,-22.484,0.054,-0.398,0.129,0.554,-0.818,0.245
251.457,-22.556,0.612,-0.563,-0.070,0.341,-0.869,0.050
251.467,-22.038,-0.068,-0.811,-0.250,0.126,-1.271,-0.127
251.477,-24.729,0.744,-1.063,-0.540,-0.106,-1.392,-0.406
251.487,-26.314,0.317,-1.389,-0.809,-0.354,-1.831,-0.656
251.498,-24.959,-0.907,-1.776,-1.069,-0.651,-2.515,-0.904
251.508,-24.582,-0.389,-2.006,-1.326,-0.902,-2.637,-1.157
251.519,-25.356,0.305,-2.225,-1.597,-1.149,-2.667,-1.403
251.529,-22.564,-0.115,-2.412,-1.748,-1.378,-2.898,-1.530
251.539,-20.530,0.732,-2.532,-1.925,-1.585,-2.810,-1.672
251.549,-19.072,0.485,-2.665,-2.047,-1.754,-2.914,-1.755
