R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,30,60,15,60,15,50,175,0,0,0.995
sysTime,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
145.105,-0.102,-0.122,-0.081,-0.083,-0.079,0.006,-0.075,-0.076,-0.044
145.116,-0.737,0.002,-0.083,-0.102,-0.098,-0.001,-0.095,-0.096,-0.052
145.127,0.642,-0.122,-0.085,-0.092,-0.087,-0.004,-0.085,-0.085,-0.056
145.137,0.490,-0.039,-0.080,-0.097,-0.093,-0.000,-0.089,-0.091,-0.053
145.148,0.540,-0.247,-0.078,-0.100,-0.096,0.000,-0.092,-0.094,-0.052
145.158,1.384,-0.039,-0.078,-0.075,-0.071,0.009,-0.068,-0.069,-0.043
145.169,2.145,-0.122,-0.075,-0.046,-0.042,0.027,-0.039,-0.041,-0.026
145.179,2.383,-0.080,-0.070,-0.022,-0.018,0.049,-0.015,-0.019,-0.006
145.190,0.467,0.127,-0.065,-0.040,-0.036,0.062,-0.033,-0.038,0.005
145.200,-0.395,-0.329,-0.076,-0.049,-0.045,0.064,-0.046,-0.048,0.005
145.211,-1.660,-0.080,-0.069,-0.073,-0.069,0.052,-0.069,-0.073,-0.009
145.221,0.184,-0.206,-0.068,-0.059,-0.055,0.044,-0.056,-0.060,-0.017
145.232,0.977,-0.331,-0.073,-0.038,-0.034,0.052,-0.037,-0.040,-0.010
145.242,-0.509,-0.039,-0.072,-0.038,-0.033,0.060,-0.038,-0.041,-0.004
145.253,-0.898,-0.039,-0.068,-0.049,-0.045,0.052,-0.049,-0.053,-0.013
145.263,-0.239,-0.123,-0.068,-0.047,-0.042,0.045,-0.048,-0.051,-0.021
145.274,0.015,-0.038,-0.080,-0.034,-0.029,0.045,-0.040,-0.040,-0.023
145.285,-0.164,-0.205,-0.088,-0.043,-0.037,0.041,-0.051,-0.049,-0.028
145.295,-1.567,0.002,-0.083,-0.062,-0.056,0.033,-0.070,-0.069,-0.037
145.306,-1.627,-0.081,-0.082,-0.070,-0.064,0.018,-0.078,-0.078,-0.052
145.316,-1.261,-0.080,-0.077,-0.090,-0.084,0.000,-0.097,-0.098,-0.070
145.327,-1.300,-0.039,-0.072,-0.125,-0.119,-0.015,-0.129,-0.132,-0.086
145.337,-0.229,-0.206,-0.080,-0.116,-0.110,-0.021,-0.122,-0.122,-0.090
145.348,-0.666,0.127,-0.065,-0.120,-0.115,-0.024,-0.121,-0.126,-0.093
145.358,-1.366,-0.081,-0.068,-0.152,-0.146,-0.035,-0.152,-0.155,-0.102
145.369,-1.088,0.086,-0.067,-0.157,-0.152,-0.047,-0.155,-0.159,-0.113
145.379,-0.292,-0.207,-0.061,-0.146,-0.141,-0.054,-0.140,-0.146,-0.118
145.390,-0.492,-0.081,-0.073,-0.143,-0.137,-0.056,-0.138,-0.140,-0.118
145.401,0.313,-0.122,-0.085,-0.147,-0.140,-0.062,-0.144,-0.142,-0.123
145.411,0.642,0.211,-0.076,-0.147,-0.140,-0.060,-0.140,-0.141,-0.119
145.422,0.157,-0.080,-0.075,-0.159,-0.153,-0.058,-0.150,-0.151,-0.116
145.432,0.135,0.044,-0.073,-0.157,-0.150,-0.055,-0.146,-0.147,-0.112
145.443,0.850,-0.080,-0.077,-0.145,-0.138,-0.051,-0.134,-0.134,-0.106
145.453,0.175,-0.123,-0.072,-0.163,-0.156,-0.049,-0.148,-0.150,-0.103
145.464,0.560,-0.164,-0.075,-0.146,-0.139,-0.046,-0.131,-0.132,-0.099
145.474,0.664,-0.205,-0.077,-0.116,-0.108,-0.033,-0.101,-0.101,-0.085
145.485,-0.249,-0.164,-0.079,-0.105,-0.098,-0.026,-0.091,-0.091,-0.078
145.496,-1.326,0.044,-0.069,-0.126,-0.119,-0.033,-0.109,-0.112,-0.085
145.506,-1.349,-0.039,-0.067,-0.141,-0.134,-0.049,-0.123,-0.126,-0.099
145.517,1.292,-0.122,-0.065,-0.104,-0.098,-0.050,-0.085,-0.089,-0.099
145.527,0.908,-0.332,-0.074,-0.097,-0.089,-0.037,-0.080,-0.081,-0.086
145.538,1.180,-0.497,-0.076,-0.091,-0.084,-0.026,-0.076,-0.075,-0.074
